"song_count","id","title","all_artists","popularity","release_date","genre","danceability","energy","key","loudness","mode","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
183,"5r0SIoi8bnhHybW3ykNHts",Simple Things (feat. Christina Perri),Christina Perri,43,"2019-06-26","{'indiecoustica', 'pop'}",0.653,0.731,0,-6.156,1,0.227,0.0,0.461,0.458,111.973,187508,4
187,"1HimGOB6BjOaCQYMIF1xtU",What Am I,Why Don't We,66,"2019-08-23","{'boy band', 'pop'}",0.614,0.647,0,-4.681,0,0.0687,0.0,0.104,0.368,163.862,184665,4
188,"39IsH7B5byx8NRlEKlZVg9",Pretty Girl - Cheat Codes X CADE Remix,Cheat Codes,60,"2017-03-03","{'dark pop', 'edm', 'pop dance', 'pop edm', 'alt z', 'pop'}",0.703,0.868,7,-4.661,0,0.15,0.132,0.104,0.733,121.03,193613,4
189,"2zJZwWF7BTGIIvrAlgzJEx",Whatcha Say,Jason Derulo,61,"2010-03-01","{'dance pop', 'pop'}",0.615,0.711,11,-5.507,1,0.0444,0.0,0.145,0.711,144.036,221253,4
190,"3zSCNTXI7Ed0PiidZVmzIe",Ignition - Remix,R. Kelly,65,"2014-05-19",set(),0.778,0.549,1,-6.144,1,0.0549,0.0,0.0724,0.802,133.041,186040,4
192,"2qfEcCkEo5NscA9GL7ER72",Nobody,James Arthur,61,"2019-03-01","{'danish electronic', 'edm', 'pop dance', 'talent show', 'uk pop', 'pop'}",0.673,0.687,6,-5.295,0,0.269,0.0,0.181,0.524,96.964,211040,4
194,"0dbp9YwlGEzXmxavRMgZ4T",LA On A Saturday Night,Hearts & Colors,53,"2018-10-19",set(),0.592,0.588,10,-4.889,1,0.118,0.0,0.138,0.336,81.997,195075,4
198,"2qxmye6gAegTMjLKEBoR3d",Let Me Down Slowly,Alec Benjamin,88,"2018-11-16","{'pov: indie', 'alt z', 'pop'}",0.652,0.557,1,-5.714,0,0.74,0.0,0.124,0.483,150.073,169354,4
199,"7pT6WSg4PCt4mr5ZFyUfsF",If We Have Each Other,Alec Benjamin,80,"2018-11-16","{'pov: indie', 'alt z', 'pop'}",0.656,0.577,10,-5.566,0,0.698,0.0,0.296,0.861,173.094,181522,4
200,"7eXT7U3FKrOM88xr1DsNwc",Trust My Lonely,Alessia Cara,49,"2018-11-30","{'canadian contemporary r&b', 'canadian pop', 'pop'}",0.613,0.668,0,-6.134,1,0.00421,0.00000206,0.324,0.622,150.171,199747,4
203,"1PsMieVYFXrSeXMxuE2SbG",Must Have Been The Wind,Alec Benjamin,0,"2019-06-13","{'pov: indie', 'alt z', 'pop'}",0.653,0.644,7,-6.204,1,0.784,0.000205,0.166,0.363,88.976,179300,4
205,"0AtP8EkGPn6SwxKDaUuXec",Remember The Name (feat. Eminem & 50 Cent),"50 Cent",68,"2019-07-12","{'singer-songwriter pop', 'queens hip hop', 'hip hop', 'east coast hip hop', 'rap', 'uk pop', 'pop'}",0.852,0.666,11,-6.923,0,0.135,0.0,0.798,0.726,91.046,207760,4
206,"4vUmTMuQqjdnvlZmAH61Qk",South of the Border (feat. Camila Cabello & Cardi B),Cardi B,77,"2019-07-12","{'singer-songwriter pop', 'dance pop', 'rap', 'uk pop', 'pop'}",0.857,0.621,9,-6.376,0,0.148,0.0,0.0865,0.668,97.989,204467,4
207,"75ylrnob5O80WTKi9ugZ1Z",Problems,A R I Z O N A,56,"2019-10-11","{'indie poptimism', 'electropop'}",0.72,0.658,2,-7.414,1,0.0329,0.0302,0.123,0.134,98.001,171898,4
209,"09Hjv8GEDhzPxqiJCw8dSB",Shadow (feat. IRO) - From Songland,iRO,55,"2019-08-14","{'seattle hip hop', 'pop rap'}",0.785,0.559,1,-8.435,1,0.18,0.0,0.303,0.416,128.021,177966,4
211,"2BkyYZmU4JuWW2sYi9EzpC","7 Minutes",Dean Lewis,59,"2019-01-18","{'pop', 'australian pop'}",0.613,0.739,10,-6.478,1,0.526,0.0,0.149,0.712,104.966,211453,4
212,"322tcqPhma7F6hfCeLisx0","fuck, i'm lonely",Anne-Marie,1,"2019-08-02",{'pop'},0.806,0.558,9,-6.46,1,0.482,0.0,0.0618,0.678,95.016,198973,4
216,"7apizLyhMRutg3ccXvr2qv",Hurt Somebody,Julia Michaels,51,"2018-01-12","{'singer-songwriter pop', 'pov: indie', 'pop'}",0.633,0.559,6,-5.135,1,0.336,0.0,0.262,0.473,114.987,168640,4
219,"3eng6TJxpqjvDkxRpnfnhB",Big Plans,Why Don't We,64,"2019-01-17","{'boy band', 'pop'}",0.693,0.604,11,-5.279,1,0.0668,0.0,0.114,0.651,75.014,179930,4
223,"1LHfEkVMR0Yj20C8lWdgpA",Unbelievable,Why Don't We,59,"2019-05-16","{'boy band', 'pop'}",0.532,0.66,7,-7.138,1,0.105,0.000222,0.0996,0.676,130.013,189385,4
224,"2BWWsCwuHAZFE1scLyP6Qe",Somebody To You,Demi Lovato,66,"2014-11-04","{'boy band', 'post-teen pop', 'pop'}",0.559,0.849,3,-4.676,1,0.0854,0.0,0.328,0.759,86.978,182827,4
225,"2slqvGLwzZZYsT4K4Y1GBC",Only The Young - Featured in Miss Americana,Taylor Swift,69,"2020-01-31",{'pop'},0.56,0.78,5,-4.895,0,0.00244,0.0,0.0714,0.602,93.516,157507,4
226,"1gZFRYcPz3wKevEaNYRwfW",Time - Edit,NF,59,"2019-07-26","{'hip hop', 'pop rap'}",0.665,0.703,8,-3.885,1,0.128,0.0,0.115,0.257,97.968,230611,4
228,"5i2JGF65pHKSfMEjSMrBC3",Jesus In LA,Alec Benjamin,0,"2019-07-16","{'pov: indie', 'alt z', 'pop'}",0.767,0.627,0,-4.096,1,0.537,0.0,0.359,0.689,94.028,172606,4
232,"7pWK1kMgHy5lNNiIfuRbkP",Used To Love (with Dean Lewis),Dean Lewis,63,"2019-10-31","{'dutch edm', 'edm', 'pop dance', 'australian pop', 'progressive house', 'pop'}",0.651,0.693,4,-4.722,1,0.458,0.0,0.335,0.392,118.97,236765,4
233,"4wNIkl5XGiAACjFBlDWuSd",What A Man Gotta Do,Jonas Brothers,75,"2020-01-17","{'boy band', 'pop'}",0.852,0.698,9,-7.206,1,0.00839,0.00000103,0.0773,0.324,113.039,180645,4
234,"3Cn324qhZyTLKGgPeYPccP",Some Girl,Andy Grammer,48,"2019-07-26","{'post-teen pop', 'neo mellow'}",0.501,0.537,1,-7.405,0,0.0691,0.0,0.125,0.151,135.944,175643,4
236,"1koJk8rrMBlhDZ8MNiLzH9",Always Remember Us This Way,Lady Gaga,58,"2018-10-05","{'dance pop', 'art pop', 'pop'}",0.553,0.506,0,-5.967,1,0.317,0.0,0.763,0.306,130.027,210200,4
240,"1e9oZCCiX42nJl0AcqriVo",Watermelon Sugar,Harry Styles,3,"2019-11-17",{'pop'},0.548,0.816,0,-4.209,1,0.122,0.0,0.335,0.557,95.39,174000,4
251,"5M9jOReAKGZ2AttVefFjTY",Don't Look Down (feat. Usher),Usher,66,"2015-03-17","{'dance pop', 'south carolina hip hop', 'dutch edm', 'edm', 'pop dance', 'r&b', 'rap', 'pop', 'contemporary r&b'}",0.575,0.831,0,-5.972,1,0.00406,0.000449,0.111,0.377,127.991,223140,4
253,"0WTN7om3lHG3yYMigwzBxl",There's No Way (feat. Julia Michaels),Julia Michaels,2,"2018-09-27",{'pop'},0.755,0.625,2,-7.114,1,0.49,0.0,0.157,0.374,147.02,174861,4
254,"57zF9nlPH4rud6f6zuKSQi",Thursday,Jess Glynne,61,"2018-10-12","{'uk pop', 'pop'}",0.603,0.554,2,-4.381,1,0.452,0.0,0.0545,0.354,111.989,216239,4
259,"3XXGqZX50zbGqSOup74UH2",Tough,Lewis Capaldi,61,"2018-06-08","{'uk pop', 'pop'}",0.627,0.715,1,-5.019,1,0.127,0.0,0.0768,0.481,115.005,229283,4
270,"4yCNpbhTPxcYn5lejWzZaf",Die A Little Bit,Ms Banks,0,"2019-10-24","{'dance pop', 'post-teen pop', 'alternative r&b', 'r&b', 'uk hip hop', 'urban contemporary', 'metropopolis'}",0.922,0.563,1,-6.863,1,0.205,0.00000305,0.363,0.25,116.096,165411,4
271,"56khZQKfmdTikYbbZLgxAY",Something's Got To Give,Labrinth,0,"2019-09-20","{'indie poptimism', 'pop'}",0.511,0.747,0,-5.904,1,0.0393,0.00000663,0.028,0.564,109.022,229285,4
272,"4QnC1bIaMSfDQvF4XDhV5M",Boyfriend,Selena Gomez,56,"2020-04-09","{'post-teen pop', 'pop'}",0.811,0.512,2,-6.381,1,0.218,0.0262,0.0768,0.346,92.046,161188,4
278,"5HYHGYx3Yl0B344J6eAdgF","At Least It Was Here (""Community"" Main Title)",The 88,51,"2010-09-21",{'la indie'},0.543,0.756,9,-8.655,1,0.000979,0.000338,0.0864,0.332,145.098,169960,4
283,"2U12JbtnFSYa5Av5wEcEDX",Oh My God,Alec Benjamin,0,"2020-02-13","{'pov: indie', 'alt z', 'pop'}",0.696,0.565,5,-7.237,0,0.652,0.00000202,0.121,0.599,156.11,187728,4
286,"2MnzNhe3pPExotEbZpeXnh",the last great american dynasty,Taylor Swift,47,"2020-07-24",{'pop'},0.684,0.661,7,-8.507,1,0.473,0.00215,0.109,0.713,147.909,230999,4
288,"4LEK9rD7TWIG4FCL1s27XC",cardigan,Taylor Swift,54,"2020-07-24",{'pop'},0.613,0.581,0,-8.588,0,0.537,0.000345,0.25,0.551,130.033,239560,4
299,"0vVMlbdYx2080Oa9FndPZr",long story short,Taylor Swift,65,"2020-12-10",{'pop'},0.546,0.732,0,-7.715,1,0.674,0.184,0.0972,0.571,157.893,215920,4
301,"6NriykdkRrjQMZo1sfVYUo","no body, no crime (feat. HAIM)",HAIM,64,"2020-12-10","{'indietronica', 'metropopolis', 'pop'}",0.547,0.613,7,-7.577,0,0.431,0.0,0.102,0.528,79.011,215627,4
302,"1OjmlSFuzYflWjSMTCyTJv",Like It's Christmas,Jonas Brothers,50,"2019-11-08","{'boy band', 'pop'}",0.725,0.571,1,-6.007,1,0.0183,0.0,0.0519,0.61,146.035,200880,4
303,"1Y9cAYTmyWJCcmfqdG2I29",Broken & Beautiful,Kelly Clarkson,66,"2019-03-27","{'dance pop', 'talent show', 'pop'}",0.73,0.732,8,-2.556,1,0.0823,0.0,0.0757,0.546,112.058,218948,4
306,"1p6rk9R8SCum97WnvGNt6O",I Love You Always Forever,Betty Who,59,"2016-06-03","{'dance pop', 'australian dance', 'electropop', 'metropopolis'}",0.532,0.613,0,-7.64,1,0.326,0.0,0.292,0.493,106.081,222957,4
307,"5X8Yo3zaMKunLmCb7qQL7Z",Oh My My,Blue October,49,"2020-10-23",{'san marcos tx indie'},0.673,0.738,0,-4.808,1,0.019,0.0,0.214,0.713,124.987,190640,4
310,"7fovCglnkftOlJmrIidq8r",No Hopeless Soul,Stephen Stanley,49,"2020-12-15",set(),0.577,0.769,0,-5.673,1,0.0528,0.0,0.0947,0.515,91.989,183240,4
313,"4RVtBlHFKj51Ipvpfv5ER4",Drown (feat. Clinton Kane),Clinton Kane,68,"2020-02-27","{'gen z singer-songwriter', 'dutch edm', 'edm', 'pop dance', 'alt z', 'progressive house', 'pop'}",0.573,0.739,9,-5.455,1,0.212,0.0,0.175,0.363,120.077,174062,4
315,"1tuXOJYN6CkgubpifHEm96",I'll Wait,Sasha Alex Sloan,61,"2020-05-29","{'tropical house', 'edm', 'pop dance', 'alt z', 'pop'}",0.611,0.649,1,-6.968,1,0.15,0.0000153,0.105,0.353,123.002,215361,4
334,"3Ri6VyKJACmFm68wQHrsvv",Pleasure,WARPs UP,47,"2021-04-23",{'chinese idol pop'},0.593,0.622,1,-6.241,1,0.154,0.0,0.077,0.382,172.02,186208,4
337,"6PERP62TejQjgHu81OHxgM",good 4 u,Olivia Rodrigo,24,"2021-05-14",{'pop'},0.556,0.661,6,-5.052,0,0.3,0.0,0.101,0.668,168.56,178148,4
339,"28Fqo5nrtgYj7czjeyHg04",Roses,The Band CAMINO,0,"2020-12-11","{'hopebeat', 'pov: indie'}",0.703,0.768,1,-5.069,1,0.0339,0.0000013,0.0328,0.786,95.983,181674,4
340,"0awuNCj9gwJEM0seER22DW",CHICKEN TENDIES,Clinton Kane,66,"2021-02-19","{'gen z singer-songwriter', 'alt z'}",0.57,0.689,7,-6.242,1,0.358,0.0,0.0819,0.568,100.087,196844,4
345,"6PQ88X9TkUIAUIZJHW2upE",Bad Habits,Ed Sheeran,24,"2021-06-25","{'singer-songwriter pop', 'uk pop', 'pop'}",0.808,0.897,11,-3.712,0,0.0469,0.0000314,0.364,0.591,126.026,231041,4
346,"4ufkuONjQMNR2fyXu1bO9w",Lease On Life,Andy Grammer,66,"2021-06-28","{'post-teen pop', 'neo mellow'}",0.704,0.701,2,-5.442,1,0.058,0.0,0.127,0.592,88.024,168163,4
350,"2f0pn9DkEJwAzXApnFh5cr",Someone To You,BANNERS,77,"2019-10-04",{'indie poptimism'},0.52,0.903,2,-5.497,1,0.00517,0.0,0.254,0.652,74.988,219801,4
351,"1e6McS5TlhjM3NRJMLfYPr",Crying My Eyes Out,Stephen Puth,49,"2019-11-22",set(),0.746,0.529,8,-6.378,1,0.201,0.00000965,0.127,0.719,104.023,176539,4
355,"3NVnNH7lZW5Jg3fjiheS67",Let Go,Dean Lewis,57,"2017-05-12","{'pop', 'australian pop'}",0.567,0.519,10,-7.97,1,0.291,0.0,0.142,0.406,103.145,174429,4
356,"42bbDWZ8WmXTH7PkYAlGLu",Hold My Girl,George Ezra,75,"2018-03-23","{'folk-pop', 'neo-singer-songwriter'}",0.614,0.527,10,-6.374,1,0.597,0.0,0.11,0.354,121.941,211764,4
359,"7HcaM7gc9YB2JAwxq1sfjT",Call My Name,JP Cooper,33,"2021-08-13",{'uk pop'},0.628,0.755,2,-6.442,1,0.0867,0.0,0.302,0.383,98.978,221748,4
366,"28GUjBGqZVcAV4PHSYzkj2",So Good,B.o.B,66,"2012-04-27","{'dance pop', 'southern hip hop', 'pop rap', 'rap', 'atl hip hop'}",0.66,0.9,7,-5.02,1,0.0403,0.0,0.219,0.591,85.51,213253,4
368,"4QCwJfuL70aUSXzlEP4FRT",Bubble Toes,Jack Johnson,26,"2001",{'neo mellow'},0.606,0.517,7,-11.507,1,0.666,0.0209,0.377,0.685,93.88,238603,4
371,"2P4OICZRVAQcYAV2JReRfj",Waiting For Love,Avicii,84,"2015-10-02","{'pop dance', 'edm', 'pop'}",0.579,0.736,6,-3.863,0,0.31,0.0,0.198,0.613,127.999,230613,4
374,"2m3ObD945KvpE5y9A1eUWm",Jump Then Fall (Taylor’s Version),Taylor Swift,70,"2021-04-09",{'pop'},0.572,0.69,2,-6.201,1,0.0474,0.0,0.0897,0.624,160.111,237580,4
375,"6aIAuKNU8JlVaTmoCYYN6U",Glad He's Gone,Tove Lo,51,"2019-05-31","{'swedish electropop', 'swedish pop', 'pop', 'swedish synthpop', 'metropopolis'}",0.795,0.595,1,-8.073,1,0.0823,0.0,0.128,0.502,91.025,196348,4
376,"3DamFFqW32WihKkTVlwTYQ",Fireflies,Owl City,80,"2009-01-01","{'indietronica', 'pop'}",0.512,0.662,3,-6.797,1,0.0275,0.0,0.118,0.472,180.114,228347,4
380,"0PLhwCmQ7cC3ThRGPn3HxF",Mess It Up,Gracie Abrams,72,"2021-05-07",{'alt z'},0.765,0.582,0,-4.528,1,0.245,0.0000821,0.154,0.36,132.992,171280,4
383,"5S09u7HLG7mNfkchjnc5uz",Playground (from the series Arcane League of Legends),Bea Miller,0,"2021-11-06","{'talent show', 'alt z', 'pop'}",0.514,0.703,8,-6.859,1,0.0107,0.0000762,0.13,0.356,157.399,230526,4
385,"6PdCbJwSOeovMX7kfwiAxb",Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,47,"2021-11-12",{'pop'},0.622,0.791,7,-6.106,1,0.00188,0.00000372,0.083,0.494,115.915,225960,4
393,"6ie2Bw3xLj2JcGowOlcMhb",Green Light,Lorde,75,"2017-06-16","{'nz pop', 'art pop', 'metropopolis', 'pop'}",0.594,0.721,2,-7.812,1,0.0209,0.00000855,0.0879,0.253,128.942,234653,4
397,"1Pf8HqG2oRr05iDuEdFrIE",Christmas Cookies,Emmi Elliott,0,"2020-12-04",set(),0.847,0.638,10,-7.146,1,0.443,0.0,0.113,0.781,105.014,146327,4
400,"1MFD6gdVDjFFMM8ItH9ZhI",White Walls (feat. ScHoolboy Q & Hollis),ScHoolboy Q,64,"2012-10-09","{'southern hip hop', 'pop rap', 'hip hop', 'seattle hip hop', 'trap', 'rap', 'gangster rap'}",0.768,0.782,7,-5.545,1,0.0545,0.0,0.338,0.842,116.492,220319,4
404,"4NxUuupOGPquDhy1yFIZK3",The Lotto,AJR,60,"2016-09-30","{'pov: indie', 'neo mellow', 'ectofolk', 'lilith', 'acoustic pop'}",0.687,0.748,3,-4.54,1,0.24,0.0,0.373,0.872,88.944,193695,4
407,"6y6xhAgZjvxy5kR5rigpY3",Chasing Stars (feat. James Bay),James Bay,66,"2021-08-20","{'dance pop', 'neo mellow', 'edm', 'pop dance', 'progressive electro house', 'brostep', 'uk pop', 'pop'}",0.594,0.64,10,-6.865,1,0.0169,0.0,0.135,0.492,92.871,170457,4
408,"2zZuQRgs9xNBXwdZUFEGE6",Gonna Be Okay,Brent Morgan,1,"2021-04-30",{'gen z singer-songwriter'},0.609,0.506,11,-8.902,1,0.0204,0.0,0.102,0.364,77.427,210165,4
410,"4o4MwnE4OK3JNG4lCYFnwm",Love Myself,Andy Grammer,51,"2021-12-10","{'post-teen pop', 'neo mellow'}",0.651,0.794,1,-4.229,0,0.128,0.0,0.0755,0.265,100.005,187004,4
412,"0EGuSSpuu9wmHCtvb4PdLO","Sit Still, Look Pretty",Daya,3,"2016-10-07",{'pop'},0.655,0.74,2,-4.081,1,0.14,0.0,0.106,0.543,182.105,202221,4
413,"6FE2iI43OZnszFLuLtvvmg",Classic,MKTO,83,"2012","{'post-teen pop', 'pop'}",0.72,0.791,1,-4.689,1,0.0384,0.0,0.157,0.756,102.071,175427,4
417,"6J56LY7Gbht6At3hv8HA5E",You Are the Music in Me,Disney,52,"2007-01-01","{'movie tunes', ""children's music""}",0.604,0.757,5,-4.516,1,0.373,0.0,0.0989,0.539,101.967,208653,4
423,"4LRPiXqCikLlN15c3yImP7",As It Was,Harry Styles,91,"2022-03-31",{'pop'},0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303,4
425,"6ATM1zRLGYYP72J9xwnL1L",Saved My Life (with R3HAB),R3HAB,64,"2022-05-06","{'post-teen pop', 'neo mellow', 'edm', 'pop dance', 'electro house', 'progressive electro house', 'dutch house'}",0.71,0.648,8,-5.955,1,0.296,0.0,0.117,0.468,102.111,174843,4
427,"0b7qBgsDlYz5koxoIdTZTe",Tomorrow,Fly By Midnight,64,"2021-11-19",{'singer-songwriter pop'},0.568,0.669,2,-5.698,1,0.112,0.0,0.115,0.405,149.969,185475,4
430,"4KGTM5EQEWR1QMDvo8dzaZ",dose,Teddy Swims,0,"2022-04-15",set(),0.75,0.581,4,-5.011,1,0.302,0.0,0.153,0.612,119.995,180807,4
431,"23HSq3CeULIkmgITs8s2z8",Does Somebody Love You,Hardcastle,30,"2019-07-17","{'nashville indie', 'hopebeat'}",0.687,0.839,9,-4.84,1,0.317,0.000679,0.131,0.17,128.002,197173,4
433,"3xrn9i8zhNZsTtcoWgQEAd",Since U Been Gone,Kelly Clarkson,75,"2004-01-17","{'dance pop', 'talent show', 'pop'}",0.662,0.741,0,-5.406,1,0.00165,0.0303,0.114,0.404,131.0,188960,4
439,"2iuZJX9X9P0GKaE93xcPjk",Sugar,Maroon 5,83,"2014-09-02",{'pop'},0.748,0.788,1,-7.055,1,0.0591,0.0,0.0863,0.884,120.076,235493,4
441,"6ilHf9NUx0OTQvnwgyU2ot",End Of The World,Gavin James,23,"2022-07-22",{'irish pop'},0.646,0.719,11,-5.203,1,0.0115,0.0,0.0938,0.521,119.943,218389,4
443,"28tJhpy4NDPiZk28sEGSsh",Novocaine,Gavin James,39,"2022-07-22",{'irish pop'},0.834,0.587,4,-6.771,1,0.213,0.000139,0.332,0.658,117.95,198879,4
